Anomaly -1.0  alarmid chang cid down ge ifnam ifnet interfac link linkdown_act mainifnam nov operstatu physic reason statu up
Anomaly -1.0  attr bom ce dce desc down eb fortygigabitethernet info interfac interfacenam link log msgid nsm raslog raslogd seqnum sever swname timestamp valu wwn
Anomaly -1.0  alarmid basetrapeventtyp basetrapprobablecaus basetrapsever cid cleartyp entityphysicalindex entphysicalnam fc gigabitethernet hwportphysicaldown_clear interfac physic pic reason sep service_resum slot statu up vs
Anomaly -1.0  attr bc bom dce desc down eb fortygigabitethernet info interfac interfacenam link log msgid nsm raslog raslogd seqnum sever swname timestamp valu wwn
Anomaly -1.0  alarmid chang cid cleartyp ge ifnam ifnet interfac link linkdown_clear mainnam nov operstatu physic reason service_resum statu up
Anomaly -1.0  alarmid chang cid down eth ge ifnam ifnet interfac link linkdown_act mainnam operstatu physic reason sep statu trunk up
Anomaly -1.0  ha if_stat ifpdt jun state turn xgigabitethernet
Anomaly -1.0  af alarmid cid cleartyp entityphysicalindex entitytrapfaultid entphysicalindex entphysicalnam fc gigabitethernet hwportdown_clear interfac jul physic pic reason service_resum slot statu up vs
Anomaly -1.0  down gigabitethernet nov phy phy_status_up slot statu vcpu
Anomaly -1.0  adminstatu alarmid chang cid down gigabitethernet ifnam ifnet interfac jun link linkdown_act mainnam operstatu physic reason statu up vs
Anomaly -1.0  gigabitethernet interfac link sp state up updown
Anomaly -1.0  ha if_stat ifpdt interfac state turn up xgigabitethernet
Anomaly -1.0  alarmid chang cid cleartyp eth ge ifnam ifnet interfac link linkdown_clear mai mainnam operstatu physic reason service_resum statu trunk up
Anomaly -1.0  adminstatu alarmid chang cid cleartyp eth gigabitethernet ifnam ifnet interfac jul link linkdown_clear mainnam operstatu physic reason service_resum statu trunk up vs
Anomaly -1.0  af alarmid cid cleartyp entityphysicalindex entitytrapfaultid entphysicalindex entphysicalnam fc gigabitethernet hwportdown_clear interfac nov physic pic reason service_resum slot statu up vs
Anomaly -1.0  alarmid cid cleartyp entityphysicalindex entitytrapfaultid entphysicalindex entphysicalnam fc feb gigabitethernet hwportdown_clear interfac physic pic reason service_resum statu up vs
Anomaly -1.0  arg attr bom dce dd desc down fortygigabitethernet info interfac interfacenam log msgid nsm protocol raslog raslogd seqnum sever swname timestamp valu wwn
Anomaly -1.0  arg attr bom dce desc eb info interfac interfacenam log msgid nsm raslog raslogd seqnum sever swname tengigabitethernet timestamp up valu wwn
Anomaly -1.0  alarmid chang cid down eth ge ifnam ifnet interfac link linkdown_act mainnam mar operstatu physic reason statu trunk up
Anomaly -1.0  interfac state up
Anomaly -1.0  arg attr bom dce desc down eb fortygigabitethernet info interfac interfacenam link log msgid nsm raslog raslogd seqnum sever swname timestamp valu wwn
Anomaly -1.0  alarmid chang cid down eth fail ge ifnam ifnet interfac lacp linkdown_act mainifnam negoti operstatu reason sep statu trunk up
Anomaly -1.0  down gigabitethernet mar phy phy_status_up slot statu vcpu
Anomaly -1.0  attr bom cd dce desc down eb fortygigabitethernet info interfac interfacenam link log msgid nsm raslog raslogd seqnum sever swname timestamp valu wwn
Anomaly -1.0  alarmid basetrapeventtyp basetrapprobablecaus basetrapsever cid cleartyp entityphysicalindex entphysicalnam fc gigabitethernet hwportphysicaldown_clear interfac mar physic pic reason service_resum statu up vs
Anomaly -1.0  attr bom dce desc down eb fortygigabitethernet info interfac interfacenam link log msgid nsm raslog raslogd seqnum sever swname timestamp valu wwn
Anomaly -1.0  attr bom dce desc down fb fortygigabitethernet info interfac interfacenam link log msgid nsm raslog raslogd seqnum sever swname timestamp valu wwn
Anomaly -1.0  alarmid cid cleartyp entityphysicalindex entitytrapfaultid entphysicalindex entphysicalnam fc gigabitethernet hwportdown_clear interfac jun physic pic reason service_resum slot statu up vs
Anomaly -1.0  adminstatu alarmid chang cid dec down gigabitethernet ifnam ifnet interfac link linkdown_act mainnam operstatu physic reason statu up vs
Anomaly -1.0  alarmid aug chang cid down ge ifnam ifnet interfac linkdown_act mainnam operstatu reason shut statu
Anomaly -1.0  ha if_stat ifpdt interfac mai state turn xgigabitethernet
Anomaly -1.0  if_stat ifpdt interfac mar state turn up xgigabitethernet
Anomaly -1.0  admin alarmid cid cleartyp entityphysicalindex entitytrapfaultid entphysicalindex entphysicalnam fc feb gigabitethernet hwportdown_clear interfac physic pic reason service_resum statu up vs
Anomaly -1.0  adminstatu alarmid chang cid cleartyp eth gigabitethernet ifnam ifnet interfac link linkdown_clear mainnam nov operstatu physic reason service_resum statu trunk up vs
Anomaly -1.0  adminstatu alarmid chang cid down eth gigabitethernet ifnam ifnet interfac link linkdown_act mai mainnam operstatu physic reason statu trunk up vs
Anomaly -1.0  ifnet link phy_updown statu ten up
Anomaly -1.0  down interfac link sp state tengigabitethernet updown
Anomaly -1.0  down ethernet interfac state
Anomaly -1.0  attr bom dc dce desc down eb fortygigabitethernet info interfac interfacenam log msgid nsm protocol raslog raslogd seqnum sever swname timestamp valu wwn
Anomaly -1.0  attr bom ce dce desc down fortygigabitethernet info interfac interfacenam link log msgid nsm raslog raslogd seqnum sever swname timestamp valu wwn
Anomaly -1.0  attr bom dce desc down eb info interfac interfacenam link log msgid nsm raslog raslogd seqnum sever swname tengigabitethernet timestamp valu wwn
Anomaly -1.0  gigabitethernet ifnet interfac line link_updown protocol ten
Anomaly -1.0  alarmid chang cid cleartyp eth ge ifnam ifnet interfac jan link linkdown_clear mainnam operstatu physic reason service_resum statu trunk up
Anomaly -1.0  ethernet ethport gmt if_down_non interfac none
Anomaly -1.0  down ethernet ethport gmt if_down_non interfac transceiv
Anomaly -1.0  alarmid basetrapeventtyp basetrapprobablecaus basetrapsever chang cid down entityphysicalindex entphysicalnam fc gigabitethernet hwportphysicaldown_act interfac jun physic pic port reason state statu vs
Anomaly -1.0  card caus chang cid down driver hwportdownreason local_fault mai physic port possibl slot statu vs xfc
Anomaly -1.0  alarmid chang cid down eth ge ifnam ifnet interfac link linkdown_act mainnam nov operstatu physic reason statu trunk up
Anomaly -1.0  ethport gmt if_up interfac mode monitor up
Anomaly -1.0  down interfac link state tengigabitethernet updown
Anomaly -1.0  card caus chang cid down driver hwportdownreason jan local_fault physic port possibl slot statu vs xfc
Anomaly -1.0  drv jul layer link linkup port up xgigabitethernet
Anomaly -1.0  alarmid apr cid down entityphysicalindex entitytrapfaultid entphysicalindex entphysicalnam fc gigabitethernet hwportdown_act interfac physic pic reason statu vs
Anomaly -1.0  alarmid chang cid cleartyp eth ge ifnam ifnet interfac link linkdown_clear mainnam nov operstatu protocol reason service_resum statu trunk up
Anomaly -1.0  fortygig ifnet interfac phy_updown physic state up
